Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Albania,ALB,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Albania,ALB,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,26.6
Albania,ALB,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-7.62957600599867
Albania,ALB,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Albania,ALB,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Albania,ALB,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Albania,ALB,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,422455676.349206
Albania,ALB,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,124800000
Albania,ALB,Time required to obtain an operating license (days),IC.FRM.DURS,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.8190002441406
Albania,ALB,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,100
Albania,ALB,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Albania,ALB,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.84779349036314
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.0658545045749
Algeria,DZA,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Algeria,DZA,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Algeria,DZA,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Algeria,DZA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Algeria,DZA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,8.04619097227106
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.73080656616175
Algeria,DZA,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Algeria,DZA,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.9
Algeria,DZA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..
Algeria,DZA,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Algeria,DZA,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Algeria,DZA,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Algeria,DZA,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,..
Algeria,DZA,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Algeria,DZA,Time required to obtain an operating license (days),IC.FRM.DURS,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.7040004730225
Algeria,DZA,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,200
Algeria,DZA,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Algeria,DZA,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
American Samoa,ASM,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
American Samoa,ASM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
American Samoa,ASM,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
American Samoa,ASM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
American Samoa,ASM,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,..
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.170444284237201
American Samoa,ASM,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
American Samoa,ASM,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..
American Samoa,ASM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..
American Samoa,ASM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
American Samoa,ASM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
American Samoa,ASM,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
American Samoa,ASM,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
American Samoa,ASM,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,..
American Samoa,ASM,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
American Samoa,ASM,Time required to obtain an operating license (days),IC.FRM.DURS,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
American Samoa,ASM,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
American Samoa,ASM,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
American Samoa,ASM,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.94941798050814
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,8.82406572722756
Andorra,AND,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Andorra,AND,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Andorra,AND,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Andorra,AND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Andorra,AND,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,..
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.115121698923556
Andorra,AND,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Andorra,AND,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..
Andorra,AND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..
Andorra,AND,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Andorra,AND,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Andorra,AND,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Andorra,AND,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,..
Andorra,AND,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Andorra,AND,Time required to obtain an operating license (days),IC.FRM.DURS,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Andorra,AND,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
Andorra,AND,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Andorra,AND,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.700000004941785
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.46740354976019
Angola,AGO,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,0.199025185486107
Angola,AGO,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Angola,AGO,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Angola,AGO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Angola,AGO,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.00692668435165
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.19591550765639
Angola,AGO,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Angola,AGO,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,67.5
Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,11.5763933632882
Angola,AGO,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Angola,AGO,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Angola,AGO,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Angola,AGO,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,1960103.02642138
Angola,AGO,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,190000000
Angola,AGO,Time required to obtain an operating license (days),IC.FRM.DURS,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.52999973297119
Angola,AGO,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,5300
Angola,AGO,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Angola,AGO,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.2708488395119
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.41783167040477
Antigua and Barbuda,ATG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Antigua and Barbuda,ATG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Antigua and Barbuda,ATG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Antigua and Barbuda,ATG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Antigua and Barbuda,ATG,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,6.95079491589412
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.813607937767102
Antigua and Barbuda,ATG,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Antigua and Barbuda,ATG,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..
Antigua and Barbuda,ATG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-15.0137349002625
Antigua and Barbuda,ATG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Antigua and Barbuda,ATG,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Antigua and Barbuda,ATG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Antigua and Barbuda,ATG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,37545032.5925926
Antigua and Barbuda,ATG,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Antigua and Barbuda,ATG,Time required to obtain an operating license (days),IC.FRM.DURS,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Antigua and Barbuda,ATG,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
Antigua and Barbuda,ATG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Antigua and Barbuda,ATG,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.2637609278887
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.22395557148646
Argentina,ARG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,10.9184291111686
Argentina,ARG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,79.1600036621094
Argentina,ARG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Argentina,ARG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Argentina,ARG,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.01461262860608
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.947490959333989
Argentina,ARG,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Argentina,ARG,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,35.9
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.38356158887357
Argentina,ARG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Argentina,ARG,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Argentina,ARG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Argentina,ARG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,232528252.92381
Argentina,ARG,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Argentina,ARG,Time required to obtain an operating license (days),IC.FRM.DURS,..
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.9020004272461
Argentina,ARG,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,1700
Argentina,ARG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Argentina,ARG,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.70000000010526
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.52571647863971
Armenia,ARM,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,4.3647870659302
Armenia,ARM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Armenia,ARM,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Armenia,ARM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Armenia,ARM,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,8.05985416832319
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.165021157387164
Armenia,ARM,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Armenia,ARM,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,32.1
Armenia,ARM,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.68848718965404
Armenia,ARM,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Armenia,ARM,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Armenia,ARM,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Armenia,ARM,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,51811895.7872297
Armenia,ARM,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Armenia,ARM,Time required to obtain an operating license (days),IC.FRM.DURS,..
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.8969993591309
Armenia,ARM,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
Armenia,ARM,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Armenia,ARM,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
Aruba,ABW,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Aruba,ABW,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Aruba,ABW,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Aruba,ABW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Aruba,ABW,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.22153143936413
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.401008197649972
Aruba,ABW,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Aruba,ABW,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..
Aruba,ABW,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..
Aruba,ABW,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Aruba,ABW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Aruba,ABW,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Aruba,ABW,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Aruba,ABW,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,16356291.8906507
Aruba,ABW,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Aruba,ABW,Time required to obtain an operating license (days),IC.FRM.DURS,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Aruba,ABW,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
Aruba,ABW,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Aruba,ABW,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.47516288330458
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.29385456321015
Australia,AUS,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,2.60517064330463
Australia,AUS,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Australia,AUS,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Australia,AUS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Australia,AUS,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.305585567457
Australia,AUS,Population growth (annual %),SP.POP.GROW,0.178832417987611
Australia,AUS,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Australia,AUS,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,12.7
Australia,AUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,3.67488020434753
Australia,AUS,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Australia,AUS,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Australia,AUS,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Australia,AUS,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,-589708141.201974
Australia,AUS,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Australia,AUS,Time required to obtain an operating license (days),IC.FRM.DURS,..
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.11199998855591
Australia,AUS,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,100
Australia,AUS,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Australia,AUS,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.48396920576444
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.02415373482555
Austria,AUT,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Austria,AUT,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,77.1900024414063
Austria,AUT,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Austria,AUT,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Austria,AUT,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.14655216081384
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.441053528127571
Austria,AUT,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Austria,AUT,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,27.3
Austria,AUT,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-0.532630946951504
Austria,AUT,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Austria,AUT,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Austria,AUT,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Austria,AUT,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,-227415.151514426
Austria,AUT,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Austria,AUT,Time required to obtain an operating license (days),IC.FRM.DURS,..
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.30100011825562
Austria,AUT,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..
Austria,AUT,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Austria,AUT,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.60003727280338
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.05782962435033
Azerbaijan,AZE,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Azerbaijan,AZE,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Azerbaijan,AZE,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Azerbaijan,AZE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Azerbaijan,AZE,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,8.36175627452696
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.51477673612851
Azerbaijan,AZE,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Azerbaijan,AZE,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,41.1
Azerbaijan,AZE,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,15.1798784591908
Azerbaijan,AZE,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Azerbaijan,AZE,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Azerbaijan,AZE,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Azerbaijan,AZE,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,-4166000
Azerbaijan,AZE,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Azerbaijan,AZE,Time required to obtain an operating license (days),IC.FRM.DURS,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.58300018310547
Azerbaijan,AZE,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,100
Azerbaijan,AZE,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Azerbaijan,AZE,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.7197349437703
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,12.6693901630273
"Bahamas, The",BHS,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,11.0408694726051
"Bahamas, The",BHS,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
"Bahamas, The",BHS,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
"Bahamas, The",BHS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
"Bahamas, The",BHS,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,6.78944831196836
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.927917643334912
